ax,ay,az,gx,gy,gz
9084,-17520,3372,-45,-957,545
9072,-17400,3384,-41,-953,519
9064,-17792,3244,-38,-973,546
9056,-17604,3180,-59,-981,559
9084,-17792,3156,-55,-976,558
9080,-17764,3136,-20,-957,559
9020,-17912,3152,-33,-1006,570
9112,-17992,3124,-43,-967,559
9080,-17996,3196,-62,-961,551
9100,-18000,3160,-35,-951,550
9032,-17508,3296,-54,-973,567
9220,-17836,3244,-48,-967,520
9148,-17796,3248,-42,-975,512
9048,-17732,3164,-71,-981,560
9076,-17636,3272,-45,-975,527
9084,-17468,3344,-65,-1031,518
9060,-17772,3252,-5,-948,567
9040,-17644,3252,-59,-958,556
9108,-17624,3432,-59,-943,543
9092,-17336,3384,-63,-990,540
9000,-17744,3188,-59,-943,556
9088,-17316,3268,-41,-954,550
9076,-17792,3196,-66,-979,556
9144,-17808,3200,-64,-976,520
9076,-17536,3308,-41,-982,539
9076,-17516,3220,-24,-981,572
9056,-17576,3260,-38,-977,546
9136,-17692,3220,-45,-986,546
9112,-17564,3228,-49,-974,545
9000,-17856,3244,-65,-961,551
9080,-17644,3200,-51,-982,557
9036,-17696,3208,-29,-985,531
9068,-17612,3300,-73,-962,542
9076,-17472,3424,-39,-964,582
9108,-17940,3080,-55,-979,545
9120,-17556,3368,-57,-977,556
9064,-17588,3296,-39,-954,540
9236,-17524,3248,-60,-972,575
8996,-17700,3192,-58,-1008,520
9060,-17808,3080,-45,-967,541
9012,-17772,3180,-54,-971,567
9012,-17904,3176,-65,-965,537
9084,-17444,3436,-49,-953,542
9088,-17476,3324,-44,-998,536
9044,-17660,3272,-41,-962,538
9060,-17856,3132,-59,-984,535
9072,-17852,3208,-48,-995,533
9172,-17636,3260,-52,-960,533
9020,-17624,3312,-53,-965,548
9044,-17384,3336,-60,-952,574
9008,-17656,3220,-56,-965,540
9108,-17664,3288,-30,-972,537
9196,-17744,3164,-28,-973,565
8988,-17756,3224,-55,-953,525
9052,-17612,3176,-43,-954,545
9164,-17772,3344,-31,-986,554
9040,-17736,3168,-71,-984,529
9084,-17916,3148,-43,-995,560
9100,-17560,3312,-57,-961,545
9108,-17672,3236,-51,-962,547
9160,-17948,3120,-55,-975,534
9076,-17812,3184,-46,-959,537
9020,-17580,3244,-49,-953,556
9100,-17756,3272,-56,-969,556
9128,-17772,3236,-75,-984,537
9072,-17844,3108,-49,-978,553
9156,-17512,3252,-68,-960,574
9048,-17636,3344,-24,-1034,528
9092,-17816,3152,-59,-962,575
9096,-17816,3232,-38,-973,533
9032,-17760,3164,-62,-947,541
9088,-17652,3332,-64,-967,547
9156,-17600,3328,-36,-907,541
9048,-17676,3212,-33,-985,535
9120,-17688,3388,-25,-940,565
9088,-17460,3380,-51,-983,592
9032,-17720,3292,-61,-964,559
9120,-17588,3344,-59,-953,534
9048,-17568,3348,-57,-972,559
9048,-17564,3216,-49,-961,557
9084,-17512,3276,-68,-982,526
9152,-17520,3356,-47,-968,553
9112,-17352,3364,-29,-948,551
9116,-17752,3252,-76,-1004,545
9144,-17912,3196,-52,-977,536
9176,-17748,3288,-62,-985,526
9004,-17420,3312,-47,-973,552
9060,-18004,3144,-52,-971,529
9144,-17724,3204,-42,-957,571
8984,-17824,3228,-69,-991,522
9208,-17956,3244,-55,-977,545
9104,-17708,3184,-56,-952,560
9028,-17932,3204,-48,-989,541
9184,-17632,3140,-64,-978,552
9012,-17688,3392,-26,-957,558
9092,-17824,3116,-32,-955,575
9076,-17652,3200,-71,-974,546
9084,-17660,3244,-56,-943,554
8992,-17792,3268,-41,-987,561
9200,-17640,3232,-52,-1006,558
9136,-17836,3224,-50,-971,558
9168,-17672,3308,-65,-954,533
9072,-17648,3308,-64,-962,523
9040,-17660,3256,-25,-972,554
8976,-17644,3192,-45,-967,546
9104,-17852,3280,-42,-955,544
9088,-17892,3116,-55,-967,524
9044,-17732,3160,-52,-966,550
9100,-17732,3332,-61,-994,525
9148,-17732,3392,-53,-969,560
8980,-17664,3268,-47,-1001,566
9068,-17948,3252,-39,-987,535
9100,-17700,3228,-51,-967,552
9120,-17600,3348,-52,-976,548
9108,-17740,3220,-60,-980,538
9144,-18004,3124,-46,-960,546
9020,-17784,3204,-42,-961,575
9180,-17628,3300,-40,-988,532
9116,-17736,3228,-55,-980,564
9124,-17560,3264,-44,-962,529
9112,-17644,3172,-40,-954,590
9108,-17872,3248,-54,-965,549
9168,-17648,3424,-41,-961,558
9048,-17948,3180,-79,-948,554
9108,-17980,3188,-55,-950,573
9052,-17680,3296,-61,-953,526
9088,-17508,3316,-49,-974,552
9084,-17764,3244,-61,-956,537
9196,-17912,3272,-75,-975,567
8984,-17748,3312,-74,-948,539
9024,-18164,3144,-55,-1069,573
9100,-17780,3268,-31,-835,575
9032,-17832,3172,-26,-958,531
9088,-17576,3336,-56,-997,559
9000,-17396,3208,-53,-990,537
9084,-17624,3196,-51,-966,522
9120,-17696,3312,-35,-970,537
9032,-17768,3160,-40,-970,541
8992,-17724,3264,-65,-967,542
9084,-17904,3220,-40,-976,568
9112,-17884,3140,-75,-952,523
8980,-17672,3224,-50,-982,557
9092,-17976,3152,-43,-967,577
9128,-17744,3176,-47,-944,567
9052,-17580,3464,-76,-969,521
9108,-17828,3348,-52,-957,561
9052,-17572,3412,-42,-970,531
9144,-17668,3296,-50,-963,539
9060,-17716,3232,-52,-985,537
9088,-17840,3208,-71,-910,541
9020,-17740,3276,-43,-968,531
9072,-17800,3072,-55,-996,556
9128,-17648,3256,-74,-943,518
9120,-17588,3172,-50,-985,573
9064,-17448,3348,-31,-966,530
9084,-17832,3308,-58,-963,563
9072,-17872,3108,-43,-957,563
8984,-17784,3188,-58,-1005,529
9128,-17872,3168,-53,-988,544
9092,-17536,3260,-67,-941,561
9092,-17712,3380,-55,-974,555
9088,-17896,3100,-58,-945,526
9136,-17476,3336,-52,-978,570
9072,-17840,3208,-37,-980,543
9080,-17828,3212,-56,-968,532
9080,-17560,3360,-46,-960,532
9092,-17800,3280,-77,-983,552
9028,-17892,3132,-49,-954,524
8992,-17448,3412,-39,-970,553
9132,-17640,3308,-44,-964,556
9180,-17784,3192,-54,-965,576
9056,-17576,3304,-44,-973,571
8928,-17560,3324,-78,-957,560
9092,-17736,3356,-37,-972,529
9108,-17936,3132,-42,-977,568
9128,-17660,3312,-44,-976,558
9096,-17856,3188,-36,-951,550
9100,-17524,3240,-45,-963,554
8936,-17720,3272,-30,-961,559
9088,-17480,3304,-42,-953,544
9100,-17856,3280,-50,-973,521
9032,-17744,3240,-68,-962,551
9124,-17828,3184,-63,-995,545
9012,-17860,3312,-46,-962,569
9008,-17460,3412,-66,-981,528
9064,-17680,3216,-44,-958,506
9172,-17768,3252,-55,-959,544
9116,-17544,3380,-56,-976,528
9064,-17680,3284,-61,-965,538
9052,-17708,3168,-47,-987,543
9056,-17408,3320,-21,-993,563
9128,-17812,3168,-60,-945,521
8952,-17824,3208,-32,-966,555
9108,-17492,3260,-69,-985,533
9172,-17760,3104,-45,-904,521
9052,-17580,3284,-68,-965,552
8996,-18056,3096,-58,-974,565
9172,-17884,3192,-59,-991,520
9020,-17604,3292,-67,-1000,547
9092,-17808,3252,-61,-964,536
9228,-17616,3208,-38,-969,561
9068,-17784,3236,-62,-993,558
8956,-17908,3164,-69,-974,546
9056,-17232,3296,-50,-947,547
9064,-17960,3392,-46,-980,554
9044,-17396,3284,-57,-964,555
9112,-17608,3264,-48,-971,558
9136,-17820,3180,-72,-982,553
9076,-17568,3224,-35,-982,540
9008,-17212,3312,-67,-950,534
8988,-17464,3352,-34,-987,550
9072,-17592,3156,-61,-960,542
9060,-17640,3248,-62,-955,533
9064,-17952,3132,-68,-979,558
9092,-17892,3108,-66,-975,547
9104,-17536,3336,-45,-978,531
9088,-17856,3228,-74,-951,574
9148,-17564,3288,-41,-967,544
9016,-17860,3260,-60,-976,541
9072,-17440,3240,-45,-959,539
9152,-17780,3296,-45,-967,550
9072,-17484,3380,-61,-956,541
9056,-17480,3440,-39,-977,571
9020,-17580,3276,-57,-942,548
9060,-17676,3232,-58,-983,563
9036,-17796,3200,-44,-968,564
9076,-17712,3312,-50,-975,546
9128,-17524,3384,-69,-945,551
9020,-17504,3316,-45,-961,560
9004,-17656,3192,-34,-985,548
9064,-17816,3296,-54,-954,545
9084,-17608,3336,-58,-976,567
9160,-17756,3236,-40,-961,551
9032,-17820,3068,-79,-975,562
9132,-17668,3284,-25,-967,545
9080,-17732,3220,-51,-975,553
9108,-17376,3268,-55,-967,548
9092,-17644,3208,-48,-971,534
9092,-17604,3204,-41,-954,548
9016,-17764,3244,-58,-971,582
9072,-17624,3332,-43,-998,547
9048,-17796,3244,-56,-971,535
9040,-17632,3364,-61,-964,572
9072,-17584,3224,-58,-989,549
9200,-17428,3336,-43,-955,535
9000,-17628,3192,-67,-953,517
9076,-17520,3352,-67,-972,525
9104,-17564,3280,-55,-968,534
9096,-17696,3264,-47,-978,525
9116,-17604,3372,-49,-963,540
9144,-17836,3192,-40,-977,549
9076,-17632,3212,-60,-959,557
9144,-17948,3196,-64,-961,568
9040,-17628,3244,-54,-993,576
9072,-17804,3208,-30,-968,542
9180,-17548,3248,-20,-950,543
9032,-17320,3412,-69,-974,519
9108,-17744,3132,-60,-977,539
9060,-17744,3208,-55,-995,525
9064,-17416,3332,-62,-967,538
9004,-17968,3112,-47,-987,550
9124,-17816,3280,-55,-975,576
9056,-17684,3288,-34,-968,535
9104,-17608,3164,-38,-951,525
9032,-17828,3208,-46,-1007,580
9156,-17716,3232,-51,-970,557
9012,-17932,3280,-42,-964,565
9072,-17540,3220,-42,-970,551
9112,-17752,3204,-56,-961,569
8996,-17708,3184,-60,-940,565
9200,-17416,3356,-57,-978,544
9144,-17512,3164,-37,-971,558
9124,-17896,3268,-51,-964,531
9004,-17808,3156,-45,-978,549
9068,-17580,3328,-74,-963,547
9036,-17908,3204,-48,-982,564
9080,-17732,3248,-50,-972,539
9072,-17820,3260,-51,-971,560
9140,-17664,3300,-44,-991,531
9120,-17712,3244,-32,-952,529
8964,-17820,3232,-47,-961,543
9100,-17552,3296,-55,-986,546
9104,-17908,3196,-31,-983,557
9080,-17416,3276,-45,-956,563
9092,-17732,3304,-65,-978,535
9104,-17904,3188,-61,-949,552
9096,-17760,3300,-44,-943,555
9132,-17744,3204,-46,-968,538
9084,-17708,3208,-42,-963,550
9096,-17720,3300,-31,-991,556
9132,-17684,3200,-67,-970,563
9048,-17804,3260,-37,-985,533
9188,-17728,3252,-23,-953,552
9068,-18080,3268,-48,-994,530
9044,-17580,3172,-49,-959,534
8972,-17732,3272,-39,-983,560
9128,-17732,3280,-58,-993,532
9112,-17872,3204,-47,-971,578
9116,-17696,3296,-58,-974,536
8996,-17732,3296,-61,-973,545
9084,-17812,3188,-55,-963,554
9092,-17880,3168,-70,-987,549
9032,-17580,3372,-43,-949,530
9000,-17748,3280,-59,-979,501
9044,-17568,3364,-38,-954,556
9168,-17216,3464,-51,-971,535
9156,-17848,3212,-54,-970,549
9060,-17604,3236,-57,-963,531
9072,-17736,3260,-55,-987,551
9040,-17432,3260,-63,-962,589
9136,-17504,3220,-52,-1000,544
9104,-17668,3224,-36,-981,542
9060,-17752,3308,-72,-975,559
9128,-17916,3288,-63,-965,530
9028,-17668,3228,-65,-968,540
9088,-17480,3368,-81,-981,557
9096,-17944,3156,-57,-985,551
9104,-17560,3280,-54,-964,531
9116,-17608,3220,-56,-956,543
9064,-17792,3136,-47,-985,570
9096,-17516,3304,-65,-956,559
9084,-17580,3336,-36,-958,531
9144,-17680,3316,-46,-967,561
9052,-17628,3344,-22,-941,533
9072,-17580,3312,-41,-962,552
9196,-17456,3272,-63,-975,558
9128,-17492,3332,-56,-970,526
9140,-17568,3296,-39,-992,586
9192,-17552,3336,-32,-957,565
9064,-17496,3256,-52,-965,555
9164,-17752,3224,-52,-951,550
9048,-17740,3268,-24,-981,557
9032,-17928,3228,-45,-984,512
8984,-17540,3252,-51,-953,545
9152,-17940,3208,-41,-966,554
9104,-17932,3292,-56,-978,588
9060,-17880,3232,-61,-981,553
9036,-17728,3288,-53,-951,559
9016,-17328,3324,-65,-990,559
9080,-17872,3200,-46,-983,535
9108,-17516,3256,-44,-983,551
9180,-17756,3236,-38,-989,561
9168,-17820,3116,-77,-985,539
9064,-17636,3128,-49,-995,568
9104,-17624,3268,-35,-970,565
9156,-17716,3192,-66,-949,567
9100,-17672,3400,-58,-995,546
9076,-17748,3120,-28,-968,531
9072,-17728,3240,-51,-952,532
9048,-17676,3200,-42,-973,559
9104,-17760,3080,-55,-978,548
9000,-17692,3368,-52,-960,535
9008,-17736,3240,-31,-980,539
9076,-17600,3188,-65,-968,523
9084,-17752,3244,-52,-966,548
9152,-17780,3088,-62,-970,519
9084,-17676,3216,-85,-969,559
9160,-17728,3296,-48,-960,566
8980,-17564,3324,-47,-999,554
9104,-17640,3336,-26,-980,535
9044,-17716,3268,-24,-990,543
9124,-18076,3080,-70,-997,567
8992,-17712,3196,-37,-978,552
9096,-17644,3280,-47,-937,566
9124,-17632,3332,-57,-1000,573
9108,-17704,3236,-26,-950,560
9116,-17608,3236,-47,-984,566
9028,-17612,3356,-36,-960,537
9076,-17812,3204,-53,-977,557
9084,-17672,3280,-63,-950,569
9052,-17556,3236,-50,-997,579
9120,-17956,3164,-54,-970,557
9068,-17560,3276,-75,-956,499
9132,-17564,3268,-48,-974,535
9136,-17612,3216,-57,-983,548
9060,-17612,3264,-52,-953,553
9084,-17944,3200,-51,-977,577
9116,-17684,3340,-56,-956,536
9084,-17552,3240,-58,-967,554
9064,-17684,3272,-59,-972,546
9128,-17796,3184,-64,-949,518
9052,-17276,3368,-40,-964,549
9104,-17668,3160,-63,-983,557
9116,-17596,3264,-60,-1000,539
9076,-17576,3280,-56,-970,554
9108,-17584,3348,-53,-975,560
9048,-17780,3348,-59,-984,524
9036,-17848,3172,-29,-962,547
9108,-17680,3272,-56,-982,533
9044,-17608,3340,-67,-971,521
9008,-17568,3324,-53,-996,564
9232,-17816,3180,-69,-973,543
9188,-18060,3112,-51,-971,538
9092,-17768,3300,-63,-985,564
9140,-18084,3232,-67,-937,548
9080,-17916,3324,-59,-963,544
9040,-17600,3240,-43,-993,528
9076,-17624,3268,-57,-981,569
9076,-17768,3244,-64,-988,579
9164,-17516,3440,-44,-955,574
9108,-17640,3276,-50,-981,513
9168,-17660,3188,-48,-958,548
9076,-17648,3324,-76,-938,547
9068,-17980,3152,-46,-979,557
9124,-17620,3424,-47,-973,540
9072,-17812,3240,-69,-979,523
9048,-17860,3104,-41,-959,564
9136,-17708,3240,-65,-1006,553
9104,-17736,3196,-47,-981,537
9156,-17800,3304,-30,-952,534
9028,-17656,3280,-38,-974,573
9008,-17796,3108,-62,-984,526
9040,-17804,3200,-63,-976,552
9216,-17884,3300,-34,-965,548
9064,-17680,3344,-57,-990,530
9136,-17684,3284,-48,-970,542
9044,-17536,3328,-20,-964,555
9040,-17752,3360,-54,-986,552
9072,-17620,3208,-57,-963,584
9076,-17560,3332,-56,-986,560
9136,-17872,3236,-58,-957,554
9080,-17488,3252,-54,-976,529
9020,-17664,3260,-61,-996,536
9148,-17920,3176,-30,-964,537
9020,-17672,3240,-33,-975,565
9184,-17488,3320,-68,-988,546
9084,-17788,3260,-35,-952,542
9068,-17780,3220,-54,-987,561
9064,-17536,3368,-76,-953,550
9040,-17684,3224,-41,-976,543
9140,-17960,3232,-52,-956,572
9144,-17748,3320,-80,-955,541
9088,-17644,3220,-41,-967,536
8996,-18120,3156,-73,-969,556
9104,-18168,3036,-30,-989,553
9056,-17876,3140,-41,-975,550
9072,-17764,3336,-55,-969,537
9112,-17640,3208,-37,-976,545
9156,-17868,3176,-72,-961,558
9116,-17884,3248,-58,-956,545
9028,-17692,3200,-49,-979,542
9020,-17900,3120,-49,-986,545
9136,-17688,3256,-34,-993,586
9100,-17532,3276,-62,-962,599
9060,-17864,3096,-29,-974,545
9164,-17756,3348,-71,-960,578
9060,-17552,3260,-41,-979,564
9088,-17796,3212,-53,-978,587
9040,-17764,3116,-61,-952,561
9088,-17816,3292,-53,-982,522
9128,-17892,3312,-47,-973,554
9124,-17732,3260,-30,-982,532
8972,-17592,3172,-45,-991,556
9112,-17780,3216,-55,-978,513
9048,-17740,3236,-68,-961,551
9168,-17656,3316,-42,-963,568
9076,-17408,3380,-58,-974,553
9032,-18056,3216,-57,-962,574
8984,-17632,3232,-51,-1003,552
8996,-17732,3196,-57,-969,531
9072,-17696,3200,-42,-986,545
9072,-17596,3328,-70,-936,534
9056,-17536,3312,-57,-984,538
9148,-17944,3220,-34,-994,538
9040,-17604,3284,-40,-980,547
9168,-17664,3264,-45,-975,553
9012,-17624,3216,-67,-990,556
9024,-17816,3088,-70,-988,561
9012,-17812,3252,-74,-972,579
9076,-17600,3284,-24,-978,559
9120,-17504,3248,-75,-955,528
8988,-17728,3344,-71,-1700,539
8880,-17616,3280,8,-880,552
9116,-17668,3248,-30,-1025,525
9092,-17500,3276,-31,-994,548
9068,-17620,3336,-59,-1094,531
9360,-17324,3228,-126,-918,550
8936,-17720,3420,-7,-748,553
9464,-17568,3104,-81,-620,518
9252,-18156,3208,-44,-826,562
9072,-17644,3212,-31,-876,567
8952,-17604,3392,117,-979,512
8996,-18156,3272,-13,-560,554
8964,-17900,3156,-43,-950,548
9180,-17684,3168,-32,-1108,555
9048,-17824,3260,-32,-962,541
7596,-17328,3020,221,2347,562
9076,-17796,3112,-25,-1046,530
9204,-17696,3084,-63,-1066,569
9124,-17448,3360,-74,-948,550
9024,-17432,3316,-60,-904,534
9060,-17688,3288,-3,-1011,510
9260,-17696,3276,-50,-1004,573
9128,-17600,3376,-36,-910,536
9060,-17868,3228,-56,-992,557
9108,-17756,3172,-60,-1017,558
9112,-17552,3268,-42,-919,547
